text,airline_sentiment,label
you know whatd be beyond awesome? A pair of tickets to the Imaginedragons show in ATL. A girl can dream #DestinationDragons,positive,2
Club in Denver is dope,positive,2
"has the worst flights and customer service, this is the second time Ive been Cancelled Flighted. Gotta pay for hotel and find rides now.",negative,0
thanks. Now my carry on that you guys insisted be checked at the gate is missing. Wont be here till Late Flight tomorrow morning.,negative,0
flight 403 is delayed 40 min bc a missing screw and were in danger of missing flight 6491,negative,0
XNA has TSA Precheck! Would be nice if your system knew that.,negative,0
"Another great flight amp crew, Las VegasChicago #3397. Thanks!",positive,2
it was your fault the flight was delayed to begin with. I shouldnt have to check my bag if theres a bunch of space,negative,0
5.5hrs Late Flightr and you still cant figure it out. Random text updates. #embarrassing #ua3728,negative,0
unacceptable. You knew the pilot wouldnt be able to complete the trip. Wasted all of our time.,negative,0
youre customer service is unbelievably bad. Abysmal. Ive been on the phone for well over 2hrs tonight. Hung up on by yr ppl 3x.,negative,0
Thank you for the response. When I book Ive tried my AA number and my US Airways number and each time it doesnt pick it up,neutral,1
"Been trying to call all day, get hung up on every time. Your guys are horrible!",negative,0
"you guys Cancelled Flightled my flight for today and booked me for tomorrow, so unfortunately i have rebooked. Thanks",negative,0
Ten hrs Late Flightr and still here on Army cots airport waiting for 11am flight. #poorlyhandled #usairheads,negative,0
"I slept in the miami airport due to mechanical issues and was given 10,000 bonus miles to try and make it right. #slapintheface",negative,0
6 hour delay. Supposed to land at 9pm now its 3am. Still not boarding. #EpicFail,negative,0
"neveind, its been found and on its way. Thanks for making the process so painless",positive,2
whose performing at T5,negative,0
Yeah I have! Im on it!! Looking for specific dates I will just keep checking daily for a fare drop,neutral,1
"Very frustrated, checked bag in Logan, was not given a luggage ticket,now luggage is lost amp no ownership from",negative,0
"not going as planned is an understatement. My flight was just changed AGAIN. If it werent for a family emergency, Id Cancelled Flight.",negative,0
so i ask for ice and the attendant snaps i dont have ice on this cart not 5 min Late Flightr 2 cups of ice to the people 2 rows ahead.,negative,0
"Thanks for the quick reply! I travel a lot...but not that much, lol.",positive,2
I have proof that my situation now is due to company mistake,negative,0
cant believe United cant find someone to just simply check a seat back for a missing passport. Loved United but debating choice,negative,0
Incredibly frustrating. I emailed but still havent received a response.,negative,0
". you should really have that addressed somewhere on the website, find that completely irritating amp am unable to take my flight now.",negative,0
Thank you for that. Am I able to claim any interim expenses or is the cost of the stuff up on me?,positive,2
"I didnt want to Cancelled Flight, I wanted to take someone off and keep my price. Held at 402, at 10am today 440, now 530",negative,0
Thank You. Well be in touch! #MoveAboutTheCountry,positive,2
". it will be because Im moving to because of talk, no service",negative,0
you guys are complete ass,negative,0
Welllllll.... RT Our fleets on fleek.,neutral,1
Lets all have a extraordinary week and make it a year to remember #GoingForGreat 2015 thanks so much American Airlines!!!,positive,2
should I bother contacting them? I already checked into my flight,negative,0
"I was insulted, disrespected and met with incompetence at every turn how about a voucher for a domestic round trip",negative,0
Airline trouble this winter amp not getting good customer service? contact we negotiate wcompanies forU!,negative,0
you bet,positive,2
"what a great experience on flight from SFO to JFK seats, service, food, everything is top quality. I will be back. Very soon!",positive,2
thanks but still annoying. Especially if I miss my flight. Can I tweet at the TSA??,negative,0
"I have been trying to speak with an agent the whole day about my Cancelled Flightled flight, what I can do?",negative,0
for our delays !!! Im out of more money because of you,negative,0
workin on it. Waiting on him to reply.,neutral,1
"Cancelled Flightled flight, 50 person line and one agent helping to rebook. You couldve handed this one better.",negative,0
Have you issued a Memphis travel advisory for tomorrow? Winter weather coming through now.,neutral,1
I booked a flight yesterday but didnt receive an email confirmation and I my dividends number isnt registering. Please help.,negative,0
Please lower my plane flight by like 100 bucks!! Thanks #FloridaVacation,neutral,1
"woohoo! He still has 1 more flight but so happy to hear theyre in the air, just about cried! Must be the preggo hormones! thx!",positive,2
flights still going to DAL?,neutral,1
this is very disappointing. This is about customer service.,negative,0
"thanks for that advice, so helpful. Cant believe you guys actually charge people to fly united",negative,0
6am Austin to JFK,neutral,1
can you please have flights in SJC ? I have no choice but to fly Southwest to Vegas,neutral,1
take note of this great example of actually making good for an extremely inconvenient situation.,positive,2
can yall develop Ding for a chromeFirefox browser extension? That would be swell,neutral,1
"#customerservice at DullesAirport could not be worse. I get the bad weather, but this is awful.",negative,0
AA45 ... JFK to LAS.,negative,0
If United loses your baggage they will get it to the airport in the country your in and then it disappears!,negative,0
Flight UA1270 is descending into farce and we havent left EWR yet. Is this going to get any worse?,negative,0
I recently moved and got a new license and when I booked my flight a months ago I used my old license do I need to change that?,neutral,1
can you follow me so I can send the DM?,neutral,1
"obviously we did see an agentbooked us for tomorrow morning. No hotel, no transportation. #pregnantwithtwins #stranded #angry",negative,0
On top of that I paid for 1st class and my wife got stuck in coach.,negative,0
Can someone please answer my call. I have been waaaaaaiting!!!,negative,0
"big thanks to your team. family emerg, same day ticket, experience was excellent. 1st time flying with yall, not my last!",positive,2
2 hours on hold. Still no answer. Horrible.,negative,0
"Thank you, you too!",neutral,1
terrible service,negative,0
"TheCandaceSmith Thanks for the shoutout, Candace! Enjoy the ride. Always! I adore American Airlines!",positive,2
"Fix your #amp jet bridges. 40 minute delay, 2nd gate...still waiting! #jetblues",negative,0
"Cheeps My friend bought a ticket last night for one of these routes from you, and it cost way more. Can you help?",neutral,1
#AmericanView Sweet Home Chicago,positive,2
My credit card was charged on the transaction when I was told it would not be. If the charge goes through I will be contacting you.,negative,0
too long for 140 characters,negative,0
Paid for in flight wifi from Austin to San Diego wasnt useable. Possible to get a refund? Conf #8X7XVM,negative,0
Yes. About an hour after landing.,neutral,1
its not letting me DM you !!,negative,0
need seat assignments for one leg of familys return flight can you please help via Twitter PM?,neutral,1
I left headphones in 2A on UA4689 from YHZEWR. Its a long shot to see them again. But worth a tweet anyway!,neutral,1
"My flight was delayed and rerouted, and not so much as a sorry for your inconvenience from the checkin agent? #notimpressed",negative,0
bags hv been posted on board for flight424 on carsl 4. Now switched to carsl 5. Its comedic watching passengers run frm 1 to othr,negative,0
OK we are on DAY 11 trying to book a flight for 4. Ur system STILL says due to weather.call back Late Flightr #outofbusiness ?,negative,0
..... No crew at our gate.,negative,0
PLANS CHANGED! IS THAT WHAT U CALL NOT BEIN ABLE 2 PARK ON TIME PLANES W A 2 HR LAYOVER N B ABLE 2 MAKE UR CONNECTION! #seriously,negative,0
"Submitted, hoping for quick decision, tied to another donation we just received Proposal 27th Annual Gala Org Boundless Readers",neutral,1
"all good, didnt die or anything. As they say you get what you pay for!",negative,0
thank you for being jetblue and not jetgreen or jetred. blue is my favorite color! and jet blue makes it better,positive,2
usairways Ive been on hold for over an hour only bc my CC miles arent showing up. What a mediocre combo of cc amp airline #SwitchingBoth,negative,0
4 hours Late Flightr And i lost my conection,negative,0
"yes I have and I was calling in regards to speaking to someone about it even further, but unfortunately i was just bounced around.",negative,0
"guarantee no retribution? If so, Id be glad to share.",neutral,1
I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .,negative,0
when is US Air switching to AA iOS app? AA app is much better.,neutral,1
that luggage you forgot...#mia.....he just won an oscar,negative,0
Thanks. It would be better from the gate agent at C14 in Charlotte boarding flight 1791.,positive,2
I know some folks have to use your airlines but doesnt customer service ever matter? I really hate to complain but its brutal!,negative,0
"this is awful! flight out of jfk for our honeymoon is delayed AGAIN until 1225 AM, and we lost money on a hotel now! #delayforwhat?",negative,0
"Im trying my hardest to not get frustrated, but I am getting no response on email or by phone. AA owes me 500. How do I claim",negative,0
your Alist program is a complete JOKE! Your company does not value loyal customers.Time to look for another goto airliner,negative,0
you can do better than this. And you can do better for me and all the passengers. #flight108 jfk to pwm.,negative,0
"from San Diego with a 4 hour delay to JFK!Even you have a Amex JetBlue, even having over 50.000 travel miles, youre still nothing",negative,0
have been waiting for a call back for over two hours jan to die tomorrow at 6am Cancelled Flightled what are my options?,negative,0
can I get some help changing a ticket. 40 minutes on hold and counting....,negative,0
did not get names...Dallas flight and Chicago,neutral,1
"OH MY GOSH SERIOUSLY?! you just made my day, week, year!!! No one will appreciate this more than me!!!",positive,2
Just sent you a DM with the details.,neutral,1
"but, what I can always rely on when I fly USAir or American is that employees will be rude and unhappy.",negative,0
Total lack of cust. service for a mom flying solo w. baby. Will not be flying w. Am. Air again!!!,negative,0
Would be helpful if you could refresh boarding time info on boarding passes for delayed flights,negative,0
this is the worst customer service I have ever had. Rebooked to tues but seat available on mon. Wtf. Contact me.,negative,0
"I know. Im sure you hear it all the time dont like the new seats. Im a small guy, 5 6 and I feel the new planes are tight",negative,0
Has D.C. Thinking About Summer With New Nantucket Service Broadway World,neutral,1
"Now, when will we see VirginAmerica come to Philadelphia PHL.",neutral,1
Then en route to the airport the rebooked ticket was refunded.,positive,2
My flight 1389 from Las Vegas to DFW was Cancelled Flightled! Ive been on hold forever and I still have not spoken to anyone! Pls Help,negative,0
americanair been calling your for 4 hours to reschedule a flight to #DFW due to weather and your wont even let me stay on hold.....,negative,0
Ive been trying to call your reservations desk for past 12 hours and cant get through. This is not what I expected.,negative,0
thank you!!,positive,2
"Its the ABCs of PR, let your customers have the most info possible. Might want to go brush up on the basics...",negative,0
landing in Chicago saw it once we were already airborne.,neutral,1
"just added #passbook support to their iOS application! Finally, I get to add them to my collection.",positive,2
thats what weve been told however how would this work if youre going overseas? Bottom line is passengers feel as if theres 1,neutral,1
Status match 2 weeks have gone by and no news.Flt next week hope flt will count towards requirement. Cust Svc no help!!!,negative,0
"good to know, thanks so much!",positive,2
Thank you so much.,positive,2
"thanks, it was my first time in a United lounge and felt welcomed.",positive,2
Priority baggage evidently means it comes out last,negative,0
Wish Everyone felt like you,positive,2
the dinner and called me hon. Not the service I would expect from 1st class. #disappointed,neutral,1
I need to speak with a live person. Ive had it with the recordings. I was told on Sat that wed have our luggage by yest.,negative,0
"can you get me home to Syracuse? After 6 Cancelled Flightled flights, one re routing three of us are sitting in Charlotte",negative,0
any way to get 2 ppl on standby list for flight 1970 FLL to BOS. Trying to find way home.,neutral,1
Well I did miss it. But gate agents had rebooked boarding pass waiting when I landed. Time for lunch amp a beverage. Easy cheesy,positive,2
"Thanks 4 the great service, staff, letting me change my flight 5 times for free! PVD to the skies for me always on SWA!",positive,2
the least you could do is make up for what you have caused. You are ruining peoples memories! You should be ashamed!,negative,0
When will direct flights from Belfast Intl to Newark resume from their winter break? Thanks.,neutral,1
BattierCCIpuppy We hope to see you on board soon and thanks for the tweet. EY,positive,2
"great, thanks!",positive,2
I think you should board from the back of the plane #whatstheholdup #CHItoCLE,negative,0
we were on b6 619 this morning from Boston to beautiful San Diego. We really were bummed the satellite was broken.,negative,0
Awesome thanks! Thanks for the quick response. You guys ROCK!,positive,2
There is no excuse for leaving a minor to spend the night sobbing 9 hours in a plastic chair. UAs actions? Terrible. # united,negative,0
Flight 280,neutral,1
Super Spring Tides and Tide of The Century Drawing tourists to French and U.K coasts,neutral,1
is the worst. I have to pay 200 just to NOT take my first flight in a round trip! Otherwise theyll Cancelled Flight my whole flight.,negative,0
Please Help. We really want to fly with you. #guessweflyingdelta,positive,2
"sadly, no! I have the app, but it also is experiencing difficulties. The flight information boards are keeping me updated.",negative,0
My wife was with our dog. They wouldnt even let her out off the plane. My daughter was at Newburgh lives close by. So wrong,negative,0
"you could give me free flights for life, and Id still choose to purchase my tickets from a competitor.",negative,0
correct date is 21115!,negative,0
thank you. We are finally at the gate.,positive,2
is it even legal for you guys to advertise flights that you cant honor??,negative,0
is really stepping up their service,positive,2
I will be patient as your agent explains how you have me booked on a new flight for 618 when that plane doesnt arrive until 607,negative,0
Delay DENCLE because they have to manually enter baggage tags? Really? Worst cust service day for this 1ker. #friendlyskies??,negative,0
i did and im not stupid. ive done web development for 19 yrs. the issue now confirmed by your support is YOUR website.,negative,0
Is it a temporary site glitch or are you no longer offering flights from GRR to GEG after Feb? Cant find any online,neutral,1
so was there a winner for #DestinationDragons ???,neutral,1
a phone call or email when you Cancelled Flight a flight would be lovely.,negative,0
"SeguineJ AA this is a joke, right? That line isnt even accepting calls right now they just hang up.",negative,0
Plus a US Airways you need to do something about this! I left Philly to thaw out!!!!,negative,0
happy to enter your sweepstakes again #nutsaboutsouthwest,positive,2
United is it possible to upfare to P a segment where I have a GPU waitlisted?,neutral,1
"Yes, I get that. Im asking Specifically, what will you do with the feedback Ive given you?",neutral,1
your website sucks donkey dicks. Just thought you should know. All best.,negative,0
DM sent as requested. Make sure you follow back so you can DM me back. Thanks,neutral,1
"If I know I left something on my last flight as I literally had to run to make my connection, how can I retrieve it please?",neutral,1
thanks!,positive,2
its vegas baby who doesnt have a good time in vegas lol,neutral,1
"Love, love, love this. Southwest Rocks!! Always!!",positive,2
why do you guys split up the charges to credit cards? Making it unnecessarily more expensive for people to fly with you guys on pts,negative,0
s firstclass #cockup,negative,0
your airline is awesome but your lax loft needs to step up its game. 40 for dirty tables and floors?,negative,0
"unfortunately no, its my lack of status thats the big problem. My company policy forces me to buy the cheapest tickets",neutral,1
"Cc DadBoner #boldflavors Were bringing Bourbon St. to 35,000 ft. with bold flavors, fresh ingredients and more dining options",positive,2
calling at 1am to tell me my flight has been rescheduled 12 hours Late Flightr than it was supposed be to seems like a bad solution,negative,0
cant believe how many paying customers you left high and dry with no reason for flight Cancelled Flightlations Monday out of BDL! Wow.,negative,0
constantly providing wonderful views and service! #SouthwestLuv,positive,2
posts second consecutive fullyear net profit ATWOnline,neutral,1
Jason 108639 at Gate #3 in SAN made my afternoon!!! #southwestairlines #stellarservice #thanks!,positive,2
Good morning! Wondering why my preTSA check was not on my boarding pass this morning??,neutral,1
a year and every time with US Air something happens. I sat waiting for a rescheduled flight for 10 hours then to say its,negative,0
"my father was kind enough to offer to pay for a hotel, but I cant use this coupon if he pays from FL. no help?",neutral,1
has been showing the same tone deaf video for all these years about how wifi is coming! Hah.Not before I leave. ftw,negative,0
how do I get my companion pass?,neutral,1
is by far the worst airline ever,negative,0
I fail to see how telling a caller that a bag may take 18 hours to get from JFK to Brooklyn is the best we can,negative,0
I totally understand the weather. Just frustrated. Thanks!,positive,2
thank you for following up!,positive,2
Thank you! You need to follow back tho otherwise I cant DM you. X,positive,2
can u help this FreyaBevanFund needs urgent treatment in2y old battling cancer could u help with flights #freyasfund,neutral,1
is there any way me amp my best friend could get tickets to #DestinationDragons ? they mean everything in the world to us.,neutral,1
they tried to have us towed. Do you think Ill be flying out of your terminal again? Risk of 75 fine from corrupt police official,negative,0
I DMd you. Anything you can do?,negative,0
wow! Some things are better forgotten!,neutral,1
Then you delete my return ticket to Europe and blame me for the now show? This airline is a joke. 3 times this happened now.3 times!,negative,0
"202.88 is the difference between the booked flights, do you want screen shots?",negative,0
Im sick of yall.,negative,0
"if I qualify for free 1st checked bag, is that applied at checkin? Same for using companion tickets?",neutral,1
you have amazing staff amp super helpful as I just ran the WaltDisneyWorld #PrincessHalf they have spoiled me with comfort!!!,positive,2
"even Citi responded quicker via Twitter when they #fail.... Still on hold, hoping no one books the flight..... #fail",negative,0
can you help me out?,neutral,1
usually raving about the service to LAX. Your nbr1 and helper cant figure out how to hang a coat and serve a drink. 6F,negative,0
"Change in the Air for Travelers, Investors BloombergNews",neutral,1
emailed AAdvantage for status match ... still waiting. Cant wait to move from but help me out here,negative,0
eventually. You should approach bags like AlaskaAir they get it.,negative,0
you guys have such big hearts.. keep up the good work,positive,2
Is it possible to add companion to only the 2nd leg of a trip?,neutral,1
file locTJYCQH. Bag at airport since last nite.Not scheduled to get PU unt aft 8? WHY? U shld b ashamed. Im disgusted wu,negative,0
this is got to be the worst service Ive ever seen with an airline. 3 Cancelled Flightled flights. Rude employees. Currently flight delayed,negative,0
"yes, today. Flight is full now. They said no to me at gate",negative,0
tried that. Cannot figure out where to go to get it.,neutral,1
Received an invitation to participate in erewards. Is this legit from JetBlue? Just double checking bc the site looked different.,neutral,1
Im having trouble adding this flight my wife booked to my Elevate account. Help?,negative,0
"TYVM USAir, Happy Night lt3",positive,2
passengers should have been rerouted to match the intended arrival time even if you have to incur cost to put us in other airlines,negative,0
thank you for refunding my bag fee. I look forward to its return today I hope.,positive,2
fly2midway 45 minute wait for my bags. Just what I needed on a Sunday night.,negative,0
I want one!,positive,2
u Cancelled Flightled my flight for tomorrow and tell me to call reservations but then refuse to take my call!!! #not cool #hateful,negative,0
any idea if there will be any spring sales soon for travel from Late Flight August to early September? Going from PA to LAX.,neutral,1
Yes I am. 24951170. RNO departure at 1229 on 225 wconnection at DFW to LGA. I can do the 1120am to LAX and then to JFK,negative,0
"Ahhhh! Sorry, just followed.",neutral,1
Love you guys,positive,2
"yup, it just happens way too often...5 times in the last 12 months",negative,0
"well, you cant fix me missing my buddies 30th bday because of negligence but you can attempt to make up for it.",negative,0
unfortunately once the call was answered service was horrid. SWA was the rolemodel of finger pointing amp excuses #DISAPPOINTED,negative,0
yes .not sure how you guys dont know gate is occupied and keep us waiting,negative,0
"we tried. Theyre not at all helpful. Terrible customer service, at this airport, at least.",negative,0
just messaged you. Please have someone contact us immediately.,negative,0
"and at this point I dont need sorry, I need a revers agt to pick up the call so maybe we can make the 1130 flight today",negative,0
jetblue trading customer experience for short term . So sad for this previous? loyal customer.,negative,0
lets me get in line for call back in over 2 hours. Ill just hope the 1 ticket left on the flight I want is still there Late Flightr.,negative,0
"flight from PHL to Austin Cancelled Flighted, headed to Houston, delayed, now have to pay to rent a car and drive 3 hrs to Austin",negative,0
save mile to visit family in 2015 and this will impact how many times I can see my mother. I planned and you change the rules,positive,2
I called a 34 weeks ago about adding 3 flights from 2014 to my Elevate...they still havent shown up...help!,negative,0
Thank you! You will see me,positive,2
DM Sent.,neutral,1
"Yes, obviously! It just stinks that 4pm is the one option when she was supposed to fly at 7AM YESTERDAY.",neutral,1
been on hold way to long! Is this the best level of service you can provide? one hour is too long!,negative,0
but to make us tru to find space in other flights. This customer service is as bad as SpiritAirlines.,negative,0
how do you go fr Silver Elite for two straight years to group 5 all the time? I get no group 2 but maybe 3 or 4? Whats up?,neutral,1
usairways traveling with 2 year old. would appreciate you holding up your end of good business and hosting us in our unanticipated layover.,negative,0
I Cancelled Flighted my flight. I really dont need this much trouble.,negative,0
"TY! But, their site says Please note that we do not offer a print subscription service for American Way. ...",negative,0
will you please update your website with the most current flight status? And update your customer service phone # on google thx,negative,0
How do I know if my flight was deemed a dark flight?,neutral,1
I have no transportation to and going to some other city and getting to NY sometime on Wed?! Im sorry thats not gonna cut,negative,0
Jackpot! #legroom,positive,2
"Beautiful, thanks a ton!",positive,2
understood and I am sympathetic. How do I get my 100 back? I shouldnt have to pay especially if YOU switched my flight.,negative,0
"airlines claims to have a low fare guarantee, but they wont honor a lower fare that I found.",negative,0
Flt 4609 landed over half an hour ago. Not a single bag yet on the baggage claim. Hate you so much right now.,negative,0
rarely ceases to amaze...for the worse. i hope this is the last time i have to fly with you.,negative,0
. I heard he has a virgin mobile hotspot,neutral,1
why is it that Sundays when my husband travels to Chicago hes stuck at Tarmac amp misses connecting flight always,negative,0
americanone one of you has my bag! Claim 4016688561 and i want it in MGA!!!! Now!!!,negative,0
"you should have assigned seating, because now my cousin amp I probably cant sit together on our flight tomorrow.. Thanks.",neutral,1
whos your pick for best picture? I dont want to board your airline until I know,neutral,1
"#vegan meals can be more creative than noodles, peas, and zukes. Nonvegan yogurt is not acceptable for a vegan. Can you do better?",negative,0
"LOVE your TV ad with the girl dancing. Makes me laugh every time, AND now I want to take a trip!",positive,2
Otis in the baggage claim by Bay #8. not at all happy but not nearly as pissed.,negative,0
btr trained gate agts. Im a frequent flyer amp have nvr had issue wmy bag 2day I was forced 2 gate check while priority boarding,negative,0
pleasantly surprised to be boarding my flight on time this morning at FlyNashville. Good job!,positive,2
why the hell do my miles expire? Was really looking forward to accruing enough for a free flight in 10 years.,negative,0
"Thanks for the reply, but a functioning plane four hours ago was the only way to do that. The staff was friendly, tho.",positive,2
"cant book a flight because of outdated, forced optin Verified by Visa nonsense. Help a girl out? I just want to get to sxsw",negative,0
"Okay, I think 1565 has waited long enough for a gate at DFW...",negative,0
yes but we HAVE TO GET HOME TOMORROW!!!! Please,negative,0
online inchecking able in the Netherlands ams?,neutral,1
But expect no help from gt lt. Our flt was canx at the last minute for weather. We flew home on weatherless .,negative,0
4 hrs and counting today alone... like I dont have other things to accomplish today than to just keep holding!!!,negative,0
im still on hold...,negative,0
"Thanks, have emailed them. How long should I expect for a response?",positive,2
finally through thx,positive,2
Orbitz has only shown priority seats since we booked amp paid 3 weeks ago.,negative,0
your staff at LAX really messed up on this one. Failing to scan my suitcase tag.,negative,0
Thanks! Her flight leaves at 2 but shes arriving to the airport early. Wedding is in VT in Sept. Grateful you fly to BTV!!,positive,2
Lets just say #IDontWannaLiveWithoutYourLove #ItWasMintToBe #BestInClassSocial #ThankYou #Travel #Business,neutral,1
2nd February in a row stranded us when we try to return from Cancun! No contact info no way to rebook! #badcustomerservice,negative,0
does it show that we are on the same plane?,neutral,1
F5R3ZZ,neutral,1
great thank you,positive,2
thanks for the quick response! Fingers crossed the plane gets here then,positive,2
messaged you as requested and called your baggage team again. Its STILL in Newark. please help or let me know next steps!!,negative,0
completely awesome experience last month BOSLAS nonstop. Thanks for such an awesome flight and depart time. #VAbeatsJblue,positive,2
my PR class would luv to know whos in charge of your Twitter. How many people write your tweets? #gracias,neutral,1
Pls Help Baby Hannah get the life saving surgeries she requires.She needs your help.Pls DonateRT,neutral,1
ticket couldnt be used bc unable to get to departing dest RSW bc of blizzard in BOS. Told only way to use credit is 200 fine,negative,0
"22 You dont really care about our comfort, you care about profitability. Thats fine, just own up to it. #unfriendlyskies",negative,0
Cool. Thank you.,positive,2
didnt work. Flyfi plus couldnt access ABC app. So I spent 19 and still missed Oscars. #disappointed,negative,0
Yes! How about #DestinationDragons in San Diego?!?,neutral,1
"rant cont... To top it all off, rescheduled flight to TPA at 1010 is already delayed. How can they be that bad?",negative,0
Thank you for the response. Much appreciated!,positive,2
"Ive been on hold for an hour now. 5957 as I type this. Ridiculous! All I need is the link to the chart that has routes, time",negative,0
also not have food available even for purchase is quite shocking since this is a 5 hour international flight.,negative,0
"now has stranded is in #Miami without updating any of the departure boards, and once they Cancelled Flightled the flight there was no...",negative,0
of course but they were just as helpless as everyone else .,negative,0
shares up on 4Q results iol,neutral,1
on hold for 15 min...no estimated answer time. Any help here?,negative,0
Am on web site requesting refund for Cancelled Flightled flight. It requires numerical document number. Where get it?,neutral,1
current hold time AFTER speaking to rep to have tix reissued is 42 mins why so long amp why not make this option available online?,negative,0
We were told by United to carry overcarry back for the refund.,neutral,1
"so you told me to go, knowing what the issue was, only for me to go there and find out that you wont fix it?",negative,0
I did not. Thats why I am VERY concerned.,neutral,1
"yup we know, not your fault, just not ideal sittin for over an hour but as always your staff is great!",positive,2
this customer service experience will be tweeted for quality assurance.,negative,0
just sad that even after spending so much on tickets all I wanted was for my wife to still go with her sister and no help,negative,0
I understand you are busy but I have still gotten no answer. I need to get home and you guys have not helped at all,negative,0
Thats not what I heard. Weather was fine this morning. Flight 136 was circling for some time.Someone forgot to clean the runway.,negative,0
took our BOS to BWI plane for a flight to StL and promised a replacement 1.5 hours Late Flightr. Now 2.5 hours delayed. Not happy.,negative,0
yes called your UK number on skypewell worth the .50. i recommend others do the same.,positive,2
"I fly quite a bit, and its not difficult to communicate. If agents let people know whats happening, arrangements can be made",negative,0
"I travel for business twice a week and after the fiasco, Ill be flying blue more often. Thanks.",negative,0
thanks!,positive,2
? RT WMCActionNews5 New airline expected to make its way to MEM,neutral,1
with the purchase of my ticket i am entitled to check in 1 bag however i am being charged an extra 25 dollars for domestic transport,negative,0
Could you update me on the suitcase please? The online and phone tracking told me nothing. I was told Id have it back yesterday!,negative,0
I think its ok.,neutral,1
"United wind chill in Ithica 17 degrees, and for the trouble of losing my clothes they give me a tshirt. Ill burn it for warmth. #united",negative,0
thank you for correctly interpreting my last tweet as non sarcastic and delaying my flight again. YYZ Terminal 3 dance party?,negative,0
there are a lot of unhappy cold people on the bridge in freezing temps for an hour. Not given any info.,negative,0
..just booked trip to Cancun... no baggage fees..but need to have more flight time options,positive,2
is the real MVP for holding up the flight connecting Philly to Tampa.,negative,0
DM sent. Thanks so much for the strong customer service!!,positive,2
Fantastic support by the Twitter team. I appreciate it. Thanks again.,positive,2
whats the best number to use?,neutral,1
Just realized my Luv Voucher expired today. Any chance of getting some luv with an extension? Please? #VeryLoyalCustomer,neutral,1
also checked email you have on file for me and it is correct,neutral,1
one of my bags didnt make it to my destination. I have the claim ticket. Any way to help out with a status on the location?,negative,0
any update on this flight?Its more than three hours delayed. Thank you.,negative,0
how can you not know the weight of our plane after us sitting on the plane for 2.5 hrs? Not convinced your company is safe for flt.,negative,0
once you go blue you dont go back,negative,0
finally rectified my flight situation! Thanks again,positive,2
"amazing flying over 25,000 miles on #UnitedAirlines amp alliance last year still got jilted out of status! #moneyelsewhere",positive,2
nrosenb1 Its not allowing me to book available seats,negative,0
"to add insult to injury, I have to go pick it up myself. Real class act! Ill stick the Delta from now on.",negative,0
"if you can get us on a flight to Vieques all will be good. Right now, not looking promising.",negative,0
flight 98 DEN to JFK already 2hrs delayed. Any idea how that might change again due to weather forecast etc?,negative,0
I might look into that. My wife travels much more than I do. Could we both use the membership?,positive,2
YOU ARE THE BEST!!! FOLLOW ME PLEASE,positive,2
"this is ridiculous. I have a 600 AM flight and two hours of rest, wasted!!!",negative,0
dfwairport Have been trying to get canx flight resched since noon. got 2 call backs but call disconnects as soon as I answer,negative,0
I keep getting disconnected after choosing the option unused travel funds on your automated customer service line! SOS,negative,0
thank you,positive,2
